DEPTH,CAL,NPHI,DT,GR,RHOB,RLLD,RT,BS,RLLD_log
3122.0,10.097,0.022,66.1339,73.994,2.634,47.922,42.1592,9.875,3.869574689163307
3122.5,10.121,0.081,66.8399,79.362,2.616,42.163,37.3794,9.875,3.7415430591967884
3123.0,10.139,0.128,67.5726,81.507,2.597,37.821,33.7757,9.875,3.632864503917242
3123.5,10.151,0.141,68.2453,78.827,2.582,34.899,31.3335,9.875,3.552458175502739
3124.0,10.171,0.146,68.7604,76.254,2.586,33.555,30.2101,9.875,3.513185883610203
3124.5,10.2,0.148,69.2477,70.798,2.599,34.429,30.9554,9.875,3.5388992324906443
3125.0,10.227,0.153,68.8915,66.85,2.605,35.591,34.5513,9.875,3.5720927969076413
3125.5,10.248,0.157,68.8584,67.977,2.594,34.447,33.2413,9.875,3.5394219109391547
3126.0,10.268,0.157,68.891,68.032,2.576,32.07,28.9884,9.875,3.4679210137050633
3126.5,10.289,0.15,68.8762,72.29,2.569,30.284,27.4812,9.875,3.41061952024106
3127.0,10.307,0.138,68.9702,78.797,2.572,30.275,27.479,9.875,3.410322289439156
3127.5,10.318,0.128,68.5521,71.173,2.576,32.958,29.755,9.875,3.495234023588538
3128.0,10.328,0.121,67.3742,69.474,2.594,38.028,34.0197,9.875,3.638322730496784
3128.5,10.337,0.112,66.0817,71.354,2.619,45.204,39.9889,9.875,3.8111855784979043
3129.0,10.354,0.114,65.0052,71.596,2.643,49.585,43.6893,9.875,3.9036883686380883
3129.5,10.374,0.124,64.7667,68.726,2.663,47.931,42.2974,9.875,3.8697624767135443
3130.0,10.393,0.139,64.6407,69.004,2.673,43.388,38.5099,9.875,3.770182905177971
3130.5,10.406,0.154,64.5637,80.174,2.683,38.727,34.6338,9.875,3.656537031192682
3131.0,10.416,0.169,64.9754,95.446,2.69,34.998,31.5084,9.875,3.5552909169995557
3131.5,10.425,0.183,66.0724,98.062,2.682,31.507,28.5607,9.875,3.450209743366109
3132.0,10.434,0.196,67.037,96.608,2.665,28.187,25.7362,9.875,3.338860878746369
