,DEPTH,CAL,NPHI,DT,GR,RHOB,RLLD,RT,BS,positive_flag,negative_flag,RLLD_log
0,2854.0,11.7301,0.1689,66.133,62.933,2.4639,7.3194,4.7113,9.25,,,1.9905283574006098
1,2854.5,12.8258,0.2028,66.1171,64.66,2.4792,1.4814,0.752,9.25,,,0.3929875865970518
2,2855.0,11.6805,0.1879,64.3786,66.906,2.5137,3.3782,1.9726,9.25,,,1.2173430232641076
3,2855.5,10.6683,0.1669,62.7153,70.047,2.5864000000000003,13.6513,9.1723,9.25,,,2.6138347551913474
4,2856.0,10.6684,0.1056,62.442,71.961,2.6516,35.5276,26.9653,9.25,,,3.570309859200909
5,2856.5,10.6922,0.086,62.3495,73.644,2.6676,29.8216,22.1619,9.25,,,3.395232963162123
6,2857.0,10.7204,0.0892,62.3074,75.562,2.6452,48.3881,37.5433,9.25,,,3.879253915723556
7,2857.5,10.7479,0.0951,61.471,77.336,2.6294,39.9167,30.591,9.25,,,3.6867947826956353
8,2858.0,10.7754,0.1011,60.1381,78.55,2.6193,34.6865,26.296,9.25,,,3.546350562262266
9,2858.5,10.8029,0.1036,60.1464,78.26,2.6173,34.7825,26.3795,9.25,,,3.5491143867338946
10,2859.0,10.8296,0.0943,59.9872,76.76,2.6269,34.9642,26.5331,9.25,,,3.5543246808711983
11,2859.5,10.8405,0.0855,58.3503,74.406,2.644,39.3957,30.1783,9.25,,,3.6736566732921685
12,2860.0,10.8487,0.0767,57.0593,73.681,2.6581,46.0596,35.6544,9.25,,,3.8299362100300365
13,2860.5,10.8875,0.0749,55.8715,75.808,2.6432,57.5706,45.1752,9.25,,,4.05301202072825
14,2861.0,10.9247,0.0843,54.839,78.055,2.6614,61.5399,48.4861,9.25,,,4.119685744933199
15,2861.5,10.9617,0.0968,56.5829,79.532,2.673,43.4964,33.5731,9.25,,,3.7726781760492654
16,2862.0,11.06,0.1241,56.9722,79.754,2.6774,33.9618,25.7472,9.25,,,3.525236363572078
17,2862.5,11.1675,0.1516,56.6949,79.085,2.6428000000000003,25.5641,18.6795,9.25,,,3.2411890235312844
18,2863.0,11.2757,0.1505,57.8122,77.933,2.6388000000000003,26.5274,19.4996,9.25,,,3.2781781610855223
19,2863.5,11.2659,0.1412,58.5532,75.342,2.6434,29.0842,21.642,9.25,,,3.370195071397367
20,2864.0,11.2777,0.1412,59.3233,71.845,2.6474,31.7138,23.87,9.25,,,3.4567519173843704
21,2864.5,11.4015,0.1559,58.7912,69.361,2.6188,33.1192,25.0908,9.25,,,3.50011317463596
22,2865.0,11.5207,0.1665,56.9815,66.639,2.6214,27.6941,20.5176,9.25,,,3.3212193941164485
23,2865.5,11.6316,0.1634,56.8305,62.74,2.6364,25.5641,18.7563,9.25,,,3.2411890235312844
24,2866.0,11.4624,0.1306,56.745,60.623,2.6635,30.0361,22.4806,9.25,,,3.4023999915702228
25,2866.5,11.253,0.0804,55.3827,56.64,2.7045000000000003,38.9498,29.8878,9.25,,,3.6622736375153844
26,2867.0,11.2765,0.0483,54.0252,53.86,2.6944,51.5135,40.2421,9.25,,,3.941843909240403
