DEPTH;CAL;NPHI;DT;GR;RHOB;RLLD;RT;BS
28.540.000;117.301;0.1689;661.330;629.330;24.639;73.194;47.113;92.500
28.545.000;128.258;0.2028;661.171;646.600;24.792;14.814;0.7520;92.500
28.550.000;116.805;0.1879;643.786;669.060;25.137;33.782;19.726;92.500
28.555.000;106.683;0.1669;627.153;700.470;25.864;136.513;91.723;92.500
28.560.000;106.684;0.1056;624.420;719.610;26.516;355.276;269.653;92.500
28.565.000;106.922;0.0860;623.495;736.440;26.676;298.216;221.619;92.500
28.570.000;107.204;0.0892;623.074;755.620;26.452;483.881;375.433;92.500
28.575.000;107.479;0.0951;614.710;773.360;26.294;399.167;305.910;92.500
28.580.000;107.754;0.1011;601.381;785.500;26.193;346.865;262.960;92.500
28.585.000;108.029;0.1036;601.464;782.600;26.173;347.825;263.795;92.500
28.590.000;108.296;0.0943;599.872;767.600;26.269;349.642;265.331;92.500
28.595.000;108.405;0.0855;583.503;744.060;26.440;393.957;301.783;92.500
28.600.000;108.487;0.0767;570.593;736.810;26.581;460.596;356.544;92.500
28.605.000;108.875;0.0749;558.715;758.080;26.432;575.706;451.752;92.500
28.610.000;109.247;0.0843;548.390;780.550;26.614;615.399;484.861;92.500
28.615.000;109.617;0.0968;565.829;795.320;26.730;434.964;335.731;92.500
28.620.000;110.600;0.1241;569.722;797.540;26.774;339.618;257.472;92.500
28.625.000;111.675;0.1516;566.949;790.850;26.428;255.641;186.795;92.500
28.630.000;112.757;0.1505;578.122;779.330;26.388;265.274;194.996;92.500
28.635.000;112.659;0.1412;585.532;753.420;26.434;290.842;216.420;92.500
28.640.000;112.777;0.1412;593.233;718.450;26.474;317.138;238.700;92.500
28.645.000;114.015;0.1559;587.912;693.610;26.188;331.192;250.908;92.500
28.650.000;115.207;0.1665;569.815;666.390;26.214;276.941;205.176;92.500
28.655.000;116.316;0.1634;568.305;627.400;26.364;255.641;187.563;92.500
28.660.000;114.624;0.1306;567.450;606.230;26.635;300.361;224.806;92.500
28.665.000;112.530;0.0804;553.827;566.400;27.045;389.498;298.878;92.500
28.670.000;112.765;0.0483;540.252;538.600;26.944;515.135;402.421;92.500
28.675.000;113.026;0.0333;528.605;518.680;26.846;680.533;540.219;92.500
28.680.000;113.279;0.0338;529.670;507.660;27.007;827.544;663.950;92.500
28.685.000;113.523;0.0371;528.627;511.620;27.150;853.292;685.776;92.500
